Frames,Videos,Nose-Eye,Eye-Shoulder,Eye-Midshoulder,Eye-Wither,Wither-Midshoulder,Midshoulder-Shoulder,Hip-Ischium,Ischium-Stifle,Stifle-Hip,Stifle-Offhindhock,Offhindhock-Offhindfetlock,Stifle-Nearhindhock,Nearhindhock-Nearhindfetlock,Girth-Offknee,Offknee-Offfrontfetlock,Elbow-Nearknee,Nearknee-Nearfrontfetlock
0157.png,BrownHorseinShadow,72.44998275,82.86132994,98.99494937,139.0863041,49.04079934,43.38202393,46.04345773,66.06814664,77.1038261,74.46475676,60.63827174,65.19202405,45.54119015,84.86459804,52.20153254,59.66573556,45.65084884
0158.png,BrownHorseinShadow,72.09022125,86.02325267,101.9656805,140.388746,48.60041152,44.28317965,45.3431362,60.21627687,79.00632886,70.09279564,64.13267498,58,50.99019514,87.7268488,48.83646179,62.36184731,44.41846463
0159.png,BrownHorseinShadow,72.11102551,88.88756943,102.9563014,145.6021978,50.99019514,43.46262762,48.7954916,56.22277119,78,72.53275122,64.13267498,60.13318551,50.44799302,87.45856162,47.07440918,59.43904441,44.41846463
0160.png,BrownHorseinShadow,75.96051606,87.92041856,103.5857133,141.7391971,48.41487375,44.72135955,53.07541804,56.40035461,81.15417426,68.8839604,63.63961031,56.08921465,53.36665626,86.83317338,47.07440918,61.81423784,47.4341649
0161.png,BrownHorseinShadow,76.69419796,93.00537619,104.938077,141.509717,46.40043103,43.65775991,50.20956084,59.36328832,85.0940656,65,63.28506933,53.45091206,54.81788029,85.21150157,47.07440918,58.42088668,49.09175083
0162.png,BrownHorseinShadow,76.89603371,95.21029356,103.0970417,144.3121616,48.83646179,44.38468204,53.15072906,60.90155991,88.5663593,62.09669879,63.28506933,52.39274759,55.97320788,85.60373824,47.38143096,58,48.41487375
0163.png,BrownHorseinShadow,81.54140053,92.97311439,102.8250942,147.3838526,51.623638,45.22167622,48.16637832,62.64982043,89.56003573,61.13100686,63.19810124,56.43580424,54.70831747,85.21150157,47.26520919,63.19810124,47.80167361
0164.png,BrownHorseinShadow,79.47955712,93.00537619,100.9752445,152.4335921,56.85068161,42.44997055,47.42362281,61.46543744,89.80534505,60.87692502,63.07138812,62.20128616,55.36244214,85.21150157,47.26520919,66.94027188,46.87216658
0168.png,BrownHorseinShadow,67.06713055,105.0761629,128.082005,168.1576641,45.45327271,46.23851209,48.16637832,61.91122677,85.0940656,69.77105417,64.07027392,73.87827827,60.74537019,81.83520025,49.01020302,82.85529555,47.38143096
0169.png,BrownHorseinShadow,72.44998275,108.1156788,133.5215338,170.425937,43.60045871,47.42362281,44.55333882,56.82429058,81.15417426,69.77105417,64.07027392,80.05623024,61.46543744,79.75587753,51.0881591,86.83317338,43.18564576
0171.png,BrownHorseinShadow,69.89277502,105.0047618,135.6650287,170.4171353,43.0464865,49.24428901,45.3431362,60.20797289,81.0246876,69.35416354,63.78871374,82.07313811,61.74139616,77.36924454,48.16637832,89.49860334,48.54894438
0172.png,BrownHorseinShadow,68.00735254,107.0046728,138.1918956,174.0028735,43.56604182,49.24428901,49.49747468,56.8594759,82.0548597,64.88451279,63.95310782,84.14867795,64.40496875,76.55716818,48.16637832,92.65527508,47.85394446
0173.png,BrownHorseinShadow,65.520989,110.0045454,136.9561974,176.2384748,45,48.84669897,50.24937811,56.93856338,83.38465087,63.13477647,64.13267498,82.02438662,66.24198065,74.67261881,48.16637832,94.75230868,46.4865572
0174.png,BrownHorseinShadow,66.48308055,117.0384552,142.3376268,179.8249148,43.829214,48.10405388,48.10405388,54.56189146,84.48076704,64.14047084,63.34824386,83.43860018,62.60990337,74.33034374,48.50773134,95.58765611,46.09772229
0175.png,BrownHorseinShadow,69.05070601,113,146.4137972,174.4706279,39,52.83937925,51.623638,54.08326913,81.3019065,69.0651866,61.18823416,80.8084154,60.37383539,74.33034374,48.50773134,97.9489663,49.25444142
0176.png,BrownHorseinShadow,66.2721661,118.0042372,152.7776162,177.552809,37.94733192,53.85164807,52.32590181,53,82.49242389,69.63476143,61,79.51100553,65.7951366,73.4982993,48.66210024,102.6157883,48
0177.png,BrownHorseinShadow,62.16912417,123.0650235,153.6879956,186.0671922,42.48529157,49.64876635,49.49747468,57.24508713,86.46964785,64.81512169,62.36986452,73.75635566,68.54195795,73.24616031,47.85394446,107.8981001,50.03998401
0178.png,BrownHorseinShadow,72.69112738,125,153.160047,185.5936421,44.28317965,48.3011387,50.32891813,60.8358447,88.81441324,62.36986452,62.16912417,74.65252842,63.1585307,73.00684899,48.05205511,109.2886087,50.99019514
0179.png,BrownHorseinShadow,73.17103252,132.0151506,158.1423409,187.4593289,42.54409477,46.95742753,48.10405388,59.50630219,87.57282684,64.44377394,61.13100686,71.84705979,63.1585307,69.63476143,49.24428901,110.4536102,54.5710546
0180.png,BrownHorseinShadow,72.44308111,134.0596882,158.6190405,184.8945645,39.92492956,46.5188134,45.45327271,61.84658438,86.70063437,64.38167441,63.89053138,71.02112362,62.39390996,68.8839604,49.03060269,115.4339638,52.92447449
0181.png,BrownHorseinShadow,70.57619995,138.1774222,157.9271984,185.5397532,40.71854614,44.94441011,45.45327271,60.53924347,85.84287973,65.7951366,63.89053138,71.02112362,62.96824597,66.70832032,49.47726751,122.6417547,52.32590181
0182.png,BrownHorseinShadow,71.70076708,139.359248,160.2279626,184.9540483,39,45.69463864,41.86884283,63.2455532,87.82368701,62.96824597,63.0634601,71.02816343,61.40032573,65.9241989,49.72926704,126.0515767,50.99019514
0183.png,BrownHorseinShadow,74.14849965,144.6789549,158.3192976,185.3968716,41.14608122,42.72001873,44.20407221,64.40496875,85.28774824,63.63961031,62.8171951,69.33974329,62.16912417,68.44705983,48.70318265,127.1416533,54.62600113
0184.png,BrownHorseinShadow,76.29547824,139.0431588,159.3894601,183.4393633,42.72001873,42.94182111,43.60045871,63.3245608,85.84287973,60.8276253,63.78871374,69.89277502,61.81423784,64.28063472,48.70318265,124.036285,58.13776741
0185.png,BrownHorseinShadow,73.75635566,131.2402377,161.245155,179.621825,39.29376541,48.41487375,40.24922359,69.77105417,80.09993758,67.17886572,67.35725648,68.54195795,61.81423784,64.49806199,49.39635614,130.736376,55.54277631
0186.png,BrownHorseinShadow,76.68767828,125.9364919,151.9539404,179.3237296,42.05948169,47.4341649,39.81205847,72.9451849,81.0061726,66.70832032,69.92138443,63.90618123,64.32728814,64.38167441,48.46648326,130.1729619,53.66563146
0187.png,BrownHorseinShadow,71.19691005,129.8768648,153.9415473,185.0540462,44.10215414,46.32493929,42.48529157,72.9451849,83.05419917,66.60330322,68.46897107,64.28841264,64.32728814,65.03076195,49.24428901,134.792433,48.76474136
0188.png,BrownHorseinShadow,74.52516354,132.7742445,154.3923573,183.6572895,44.41846463,44.94441011,44.28317965,73.92563831,83.05419917,68.59300256,65.62011887,61.6116872,66.75327707,66.03029608,49.24428901,132.5745074,52.80151513
0189.png,BrownHorseinShadow,77.66595136,136.5650028,151.1191583,184.56977,48.01041554,41.14608122,45.17742799,74.43117626,85.02352616,69.29646456,64.77653896,58.69412236,68.73136111,66.18912297,49.24428901,133.2216199,52
0190.png,BrownHorseinShadow,76.65507159,132.438665,149,180.9419797,49.92995093,39.96248241,48.3011387,73.4982993,83.02409289,73.55270219,63.00793601,62.20128616,69.46221995,66.2721661,46.23851209,131.4001522,51.623638
0191.png,BrownHorseinShadow,74.72616677,128.5768253,153,183.1201791,49.73932046,44.68780594,45.17742799,71.56116265,81.0061726,72.24956747,64.03124237,66.00757532,63.50590524,69.11584478,48.37354649,128.6001555,51.623638
0192.png,BrownHorseinShadow,80.65358021,132.280006,153.0294089,182.4390309,49.73932046,42.80186912,46.5188134,71.84705979,79.00632886,73,67.47592163,69.11584478,63.28506933,65.06919394,50.11985634,120.8014901,51.623638
0193.png,BrownHorseinShadow,77.36924454,140.2462121,156.0512736,188.2976367,52.15361924,39.96248241,46.06517123,72.24956747,75.32595834,79.39773297,66.48308055,76.90253572,63.19810124,64.07027392,51.4781507,117.4436035,51.623638
0194.png,BrownHorseinShadow,77.49193506,145.3306575,148.0844354,188.2976367,57.62811814,34.92849839,46.5295605,74.65252842,80.22468448,73.10950691,65.51335742,72.18032973,63,66.06814664,49.09175083,116.211015,52.81098371
0202.png,BrownHorseinShadow,77.20103626,157.2895419,173.1415606,195.8800653,50.28916384,43.38202393,54.58937626,76.57675888,76.65507159,80.89499366,71.11961755,83.18653737,66.70832032,82.07923002,50.24937811,91.21951546,53.60037313
0203.png,BrownHorseinShadow,78.16009212,163.3676835,176.102243,199.7223072,51.54609588,42.15447782,56.82429058,77.00649323,74.81310046,83.18653737,73.92563831,86.95401083,66.70832032,85.86617495,49.51767361,88.41379983,53.60037313
0204.png,BrownHorseinShadow,79.30952024,163.1686244,172.1423829,204.8047851,55.00909016,40.80441153,51.10772936,75.16648189,76.11832894,83.21658489,74.79304781,84.59905437,67.67569726,93.49331527,50.32891813,86.45229899,53.15072906
0205.png,BrownHorseinShadow,79.83107165,157.876534,173.2339459,206.603485,55.90169944,42.95346319,51.10772936,72.9177619,75.66372975,85.14693183,80.0624756,85.08818954,67.67569726,97.63708312,48.10405388,86.21484791,52.15361924
0209.png,BrownHorseinShadow,77.88452991,161.0093165,187.6725872,220.4109798,50.53711507,50.24937811,53.23532662,75.2861209,73.8241153,88.141931,75.16648189,91.40021882,68.02940541,103.9471019,47.5394573,65.76473219,51.35172831
0210.png,BrownHorseinShadow,78.58753082,158.8080602,185.7767477,224.2164133,50.21951812,54.12023651,56.35601121,72.24956747,74.10802925,88.36288814,76.00657866,89.62700486,65.9241989,108.853112,50.92150823,68.44705983,51.35172831
0211.png,BrownHorseinShadow,76.90253572,156.7194946,182.8223181,227.378539,54.67174773,52.77309921,56.46237685,76.4852927,73.17103252,87.2811549,74.94664769,90.60353194,65.9241989,113.0044247,49.81967483,64.84597135,51.7880295
0212.png,BrownHorseinShadow,77.12976079,157.6229679,174.7712791,224.8755211,59.46427499,47.4341649,54.56189146,81.39410298,79.76214641,82.00609733,73.24616031,89.14033879,64.25729531,112.6055061,54.33231083,60.44005295,52.17278984
0213.png,BrownHorseinShadow,79.07591289,154.3923573,171.470114,227.378539,64.35060217,42.72001873,57.27128425,89.09545443,87.69264507,75.42545989,73.24616031,89.37561189,64.25729531,110.4536102,55.00909016,57.70615219,52.17278984
0214.png,BrownHorseinShadow,80.89499366,158.7104281,169.7056275,230.8679276,69.42621983,40.26164428,64.00781202,83.5463943,87.20665112,76.53103945,76.05918748,87.78382539,65,106.5082156,54.91812087,58.13776741,52.88667129
0215.png,BrownHorseinShadow,83.86298349,157.9177001,179.4798039,232.1809639,62.93647591,45.17742799,63.95310782,82.75868534,89,76.53103945,76.05918748,83.43860018,65.74191966,107.3359213,56.32051136,49.01020302,57.24508713
0216.png,BrownHorseinShadow,82.20097323,157.9177001,175.1456537,231.8900602,67.17886572,40.71854614,63.56099433,87.04596487,90.00555538,77.27871635,76.05918748,87.04596487,64.07807737,111.2205017,56.30275304,57.70615219,52.55473337
0217.png,BrownHorseinShadow,79.906195,163.2298992,180.8009956,236.8121618,67.17886572,41.14608122,61.74139616,83.73768566,90.02221948,76.53103945,73.40980861,84.86459804,61.84658438,115.9655121,60.00833275,56.88585061,53.71219601
0218.png,BrownHorseinShadow,79.24645102,160.5147968,181.6204834,236.2794955,66.46803743,43.0464865,60.41522987,83.00602388,92.19544457,76.32168761,71.86793444,78.5684415,66.48308055,109.8362417,58.5918083,58.82176468,53.71219601
0219.png,BrownHorseinShadow,85,154.042202,181.2760326,233.8054747,65.05382387,45.45327271,63.50590524,83.24061509,93.13431162,77.78174593,71.51223672,80.72174428,64.51356447,117.0683561,59.48108943,55.47071299,53.71219601
0220.png,BrownHorseinShadow,86.14522622,153.7595525,179.1005304,232.8797973,66.48308055,44.82186966,64.88451279,82.46211251,95.13148795,79.62411695,71.51223672,82.13403679,62.8171951,111.2205017,64.88451279,61.40032573,54.12947441
0221.png,BrownHorseinShadow,84.17244205,153.7595525,172.1046193,229.7324531,68.76772499,40.81666326,65.30696747,83.09632964,92.19544457,82,71.16881339,77.1038261,66.21933252,113.1591799,63.3245608,67.26812024,53.71219601
0222.png,BrownHorseinShadow,80.52328856,149.6429083,175.071414,228.5366491,65.7951366,43.27817002,68.9637586,79.9812478,93.1933474,83.93449827,71.78439942,73.66138744,67.67569726,107.8981001,61.09828148,70.09279564,54.12947441
0223.png,BrownHorseinShadow,82,144.1561653,167.002994,228.6744411,73.87827827,38.94868419,72.06941099,77.46612163,96.02603814,81.0246876,72.53275122,73,64.5368112,107.0747403,63.90618123,74.24957912,50.11985634
0224.png,BrownHorseinShadow,86.34813258,146.9863939,163.1103921,229.6889201,78.60025445,34.40930107,70.32780389,76.57675888,93.64827815,81.74350127,73.97972695,71.40028011,64.32728814,107.4476617,64.25729531,75.66372975,51.97114584
0225.png,BrownHorseinShadow,88.07383266,149.6462495,161.1521021,233.1179959,82.37718131,34,68.9637586,75,95.18928511,81.74350127,75.58438992,67.67569726,65.9241989,110.8873302,62.29767251,78.51751397,53.85164807
0226.png,BrownHorseinShadow,85.70297544,157.8923684,169.2394753,234.7764895,77.4209274,34,70.71067812,73.75635566,91.08238029,84.20213774,71.06335202,72.9451849,62.39390996,103.5857133,62.29767251,79.20858539,51.86520992
0227.png,BrownHorseinShadow,89.05054744,160.853971,176.4794606,238.1596103,75,36.61966685,73.430239,79.64923101,98.99494937,80.41144197,71.06335202,64.38167441,70.00714249,101.1780609,61.40032573,79.30952024,48.02082881
0233.png,BrownHorseinShadow,79.40403012,163.2329624,180.0999722,235.0914716,68.11754546,41.34005322,66.18912297,74.94664769,96.10411021,82.76472679,78.00640999,73.8241153,57.28001397,95.4253635,56.88585061,76.40026178,54.03702434
0234.png,BrownHorseinShadow,77.62087348,166.8652151,181.0994202,235.0914716,67.35725648,38.94868419,65.36818798,72.20110802,96.10411021,85.86617495,74,73.8241153,67.41661516,95.4253635,56.56854249,73.00684899,53.75872022
0235.png,BrownHorseinShadow,81.0246876,172.9306219,181.0690476,240.8588798,70.80254233,38.27531842,72.89718787,75.21303079,96.31718434,86.3539229,74.00675645,69.26037828,73.40980861,95.26804291,56.08029957,70.45565982,53.90732789
0236.png,BrownHorseinShadow,81.0246876,171.7236151,181.0110494,240.0270818,68.81860214,40.49691346,74.30343195,71.61005516,96.7729301,87.32124598,74.10802925,69.11584478,76.15773106,94.02127419,57.00877125,68.42514158,53.74011537
0237.png,BrownHorseinShadow,80.04998438,173.9798839,181.0248602,242.6623168,69.89277502,41.48493703,69.46221995,72.40165744,98.27003612,84.97058314,72.83543094,70.34912935,75.13321503,88.75246475,57.00877125,66.21933252,58.72818744
0238.png,BrownHorseinShadow,81.49233093,167.0927886,176.1391495,246.9514122,76.53757247,40.80441153,73.06161783,72.71863585,102.1077862,82.29823813,73.97972695,73.37574531,74.6860094,83.76156637,61.00819617,67.36467917,55.86591089
0239.png,BrownHorseinShadow,83.43260753,161.8054387,174.1407477,247.5237362,81.54140053,39.92492956,73.430239,71.86793444,100.4241007,84.21995013,73.97972695,80.41144197,72.00694411,83.00602388,61,69.35416354,52.32590181
0242.png,BrownHorseinShadow,76.79192666,163.2298992,178.7176544,257.8158257,85.98255637,39.39543121,73.06161783,70.17834424,99.2018145,84.31488599,74.21590126,86.82165628,78.77182237,78.79086241,58.42088668,76.21679605,53.75872022
0244.png,BrownHorseinShadow,82.87339742,163.688729,179.0111728,258.5652722,85.98255637,37.16180835,77.02596965,70.45565982,99.72462083,86.21484791,75.2861209,86.28441342,79.92496481,75.96051606,58.54912467,80.5294977,49.39635614
0245.png,BrownHorseinShadow,83.15046602,173.4877517,183.4475402,267.0674072,88.83692926,37.10795063,82.85529555,73.60027174,103.8460399,84.3860178,76.21679605,84.38009244,75.80237463,76.24303247,59.03388857,86.53323061,50.28916384
0246.png,BrownHorseinShadow,84.09518417,172.4180965,181.7278185,264.4333564,87.46427842,37.85498646,78.39005039,72.40165744,104.1201229,83.63013811,76.89603371,84.59905437,78.71467462,80.00624976,59.22837158,88.60022573,50.80354318
0247.png,BrownHorseinShadow,81.15417426,170.2380686,190.0736699,263.3210968,79.0569415,41.14608122,80.45495634,66.57326791,104.0432602,84.95881355,76.55063684,83.52843827,81.49233093,78.64477096,59.66573556,89.27485648,53.00943312
0248.png,BrownHorseinShadow,84.14867795,178.3395638,193.7524193,270.48475,82.37718131,39.56008089,79.07591289,66.37017402,104.3551628,84.89994111,73.68174808,82.49242389,80.49844719,78.51751397,60.16643583,91.93475948,54.23098745
0249.png,BrownHorseinShadow,82.00609733,186.4537476,194.6124354,268.03358,79.32212806,38.63935817,82.29823813,72.71863585,105.9481005,83.43860018,76.69419796,79.15806971,78.71467462,78.51751397,60.7289058,95.01578816,55.73149917
0230.png,BrownHorseintoshadow,60.03332408,118.7013058,117.4776575,145.4957044,46.86149806,37,40.31128874,62.20128616,70.0285656,65.8559033,62.00806399,60.00833275,59.66573556,58.30951895,44.91102315,130.3878829,47.5394573
0231.png,BrownHorseintoshadow,61.29437168,122.2988144,115.5724881,143.5026132,42.44997055,42.75511665,40.24922359,65.21502894,71.02816343,65.8559033,61.03277808,59.46427499,60.41522987,58.21511831,45.607017,134.4618905,47.42362281
0232.png,BrownHorseintoshadow,59.9082632,129.8653148,114.3372205,143.2829369,44.55333882,41.01219331,38.47076812,62.62587325,67.18630813,69.4046108,59.53990259,62.8171951,60.41522987,58,45.12205669,138.798415,43.829214
0233.png,BrownHorseintoshadow,59.36328832,133.8431918,117.0854389,144.1249458,40.31128874,43.0464865,37.12142239,63.2534584,66.37017402,69.63476143,55.73149917,62.96824597,59.68249325,58.42088668,44.38468204,130.7822618,42.95346319
0234.png,BrownHorseintoshadow,60.6052803,133.2553939,120.4159458,142.0563269,36.87817783,45.17742799,43.8634244,67.00746227,71.0070419,70.72481884,56.08921465,64.19501538,58.69412236,60.00833275,43.65775991,129.247824,43.38202393
0235.png,BrownHorseintoshadow,62.42595614,138.2316896,121.75385,141.0035461,38.60051813,42,39.92492956,67.00746227,68.11754546,66.37017402,56.75385449,63.19810124,58.54912467,59.07622195,45.88027899,126.1427762,48.10405388
0236.png,BrownHorseintoshadow,61.29437168,139.0863041,121.1651765,142,43.60045871,37.12142239,40.24922359,64.20280368,69.0651866,61.29437168,60.87692502,61.03277808,60.40695324,63.12685641,45.31004304,125.6702033,47.16990566
0237.png,BrownHorseintoshadow,58.89821729,131.0267148,119.5700631,139.057542,40.22437072,39.20459157,44.28317965,69.8140387,74.06078585,59.68249325,62.96824597,58.13776741,60.20797289,62.20128616,47.85394446,119.9541579,49.04079934
0244.png,BrownHorseintoshadow,56.93856338,136.4734406,131.8483978,151.6476179,41.67733197,35.51056181,50.60632372,62.48199741,65.12296062,74.06078585,57.30619513,77.83315489,53.60037313,69.92138443,45.22167622,93.00537619,47.51841748
0245.png,BrownHorseintoshadow,56.08029957,132.2308587,126.0198397,148.492424,43.0464865,35.12833614,49.73932046,65.94694838,68.35934464,72.33947747,56.35601121,73.40980861,57.27128425,68.70953355,49.2036584,90.42676595,48.27007354
0246.png,BrownHorseintoshadow,58.66856058,133.4166406,127.2792206,147.2311108,42.05948169,36.22154055,50.08991915,70,64.93843238,73.02739212,64.89992296,77.89736838,57.27128425,71.30918594,48.01041554,85.27602242,47.85394446
0247.png,BrownHorseintoshadow,58.18075283,133.7011593,132.740348,152.8953891,42.48529157,36.87817783,51,65.60487787,64.38167441,72.44308111,65.8634952,76.94153625,58.94064811,77.02596965,45.48626166,80.8084154,48.05205511
0248.png,BrownHorseintoshadow,52.77309921,132.5179233,136.1322886,160.0312469,42.54409477,39.56008089,49.24428901,70.29224708,69.87131028,67.47592163,64.66065264,74.62573283,55.31726674,76.6093989,46.32493929,74.24957912,49.64876635
0249.png,BrownHorseintoshadow,48.84669897,132.280006,140.0035714,165.7377446,42.19004622,38.27531842,48.54894438,64.63745044,64.13267498,75.23961722,67.11929678,81.12336285,55.6596802,78.10249676,46.95742753,74.27651042,49.01020302
0252.png,BrownHorseintoshadow,59.03388857,113.507709,130.1383879,173.6692258,51.73973328,39.44616585,50.11985634,72.34638899,71.84705979,69.46221995,60.37383539,74.81310046,59.09314681,83.24061509,45.89117562,59.20304046,47.09564736
0253.png,BrownHorseintoshadow,58.6003413,111.5706054,130.3840481,159.1005971,43.0464865,43.9089968,52.15361924,70,71.02112362,71.02816343,61.29437168,77.62087348,60.8276253,85.21150157,46.38965402,59.07622195,50.15974482
0254.png,BrownHorseintoshadow,56.46237685,112.8051417,130.6483831,161.6075493,43.26661531,42.94182111,49.24428901,69.8140387,68.0661443,71,60.37383539,80.15609771,56.8594759,85.44588931,45.17742799,58.18075283,49.16299421
0255.png,BrownHorseintoshadow,57.00877125,113.3578405,126.5701387,167.3349934,50.24937811,38.07886553,50.11985634,79.24645102,79.24645102,64.38167441,60.37383539,77.1038261,57.7754273,87.66413178,47.04253395,57.00877125,47.38143096
0256.png,BrownHorseintoshadow,59.61543424,111.0045044,129.5569373,171.8400419,50.91168825,38.58756276,52.83937925,73.55270219,77.31752712,66.12110102,59.09314681,72.86288493,60.08327554,88.68483523,48.37354649,55.71355311,48.83646179
0257.png,BrownHorseintoshadow,60.74537019,115.1216748,130.3840481,174.8885359,52.40229003,36.23534186,52.35456045,74.51845409,82.02438662,62.00806399,59.09314681,62.93647591,59.48108943,94.02127419,46.17358552,51.19570294,48.83646179
0258.png,BrownHorseintoshadow,62.96824597,115.3169545,128.2497563,161.8177988,44.82186966,34.43835072,51.88448708,72.80109889,82.02438662,62.03224968,59.09314681,62.24146528,56.88585061,93.91485505,47.67598976,55.14526272,48.83646179
0259.png,BrownHorseintoshadow,63.1585307,113.1591799,123.4058345,161.1241757,46.69047012,34.17601498,53.22593353,71.70076708,78.02563681,66.37017402,59.09314681,64.5368112,56.71860365,94.3716059,48.76474136,55.14526272,51.41984053
0260.png,BrownHorseintoshadow,60.16643583,115.1216748,128.3900308,159.2011306,42.20189569,35.34119409,50.11985634,71.84010022,80.00624976,66.37017402,59.46427499,64.20280368,55.73149917,96.7729301,55.02726597,55.57877293,48.83646179
0261.png,BrownHorseintoshadow,56.8594759,112.9690223,125.574679,161.6817862,45.3431362,35.84689666,55.07267925,70.9365914,81.0246876,67.36467917,59.48108943,64.63745044,54.00925847,98.89893832,52.81098371,56.32051136,49.24428901
0262.png,BrownHorseintoshadow,61.84658438,108.9311709,124.1450764,161.7714437,46.66904756,39.8246155,53.33854141,71.40028011,84.05355436,65.76473219,60.08327554,61.29437168,55.00909016,96.60745313,55.15432893,58.30951895,50.96076922
0263.png,BrownHorseintoshadow,58.6003413,110.440029,121.2023102,162.0154314,48.83646179,40.85339643,54.58937626,73.00684899,85.14693183,62.36986452,63.5688603,59.07622195,56.0357029,87.7097486,56.46237685,59.09314681,51.86520992
0264.png,BrownHorseintoshadow,56.46237685,113.7585162,120.2039933,159.3643624,48.08326112,37.36308338,54.58937626,71.70076708,81.0246876,65.11528238,62.36986452,60.20797289,57.03507693,90.21086409,51.89412298,57.70615219,53.75872022
0270.png,BrownHorseintoshadow,57.27128425,114.8433716,127,160.0999688,46.22769733,37.12142239,51.10772936,62.80127387,76.23647421,69.89277502,62.20128616,59.03388857,55.08175742,79.19595949,49.39635614,60.8276253,54.62600113
0271.png,BrownHorseintoshadow,59.48108943,116.090482,121.0041322,156.7322558,47.42362281,34.4818793,50.47771786,62.42595614,79.22752047,70.9365914,62.20128616,58,59.09314681,79.906195,49.04079934,69.35416354,48.76474136
0272.png,BrownHorseintoshadow,57.70615219,119.3691753,122.0163923,157.4102919,46.75467891,34.71310992,55.22680509,65,81.39410298,74.67261881,59.00847397,58.42088668,57.27128425,76.4852927,48.08326112,65.30696747,50.53711507
